company,name,sector,sector_name,scope1,scope2,emissions,market_value,revenues,carbon_footprint,intensity
wfc,WELLS FARGO & CO,40,Financial,85.83,848.52,934.35,229907.9,101060.0,4.064018678783983,9.245497724124283
ko,COCA COLA,30,Consumer Staples,400.598,478.834,879.432,231962.3,34300.0,3.791271253992567,25.63941690962099
cvx,CHEVRON,10,Energy,59000.0,4000.0,63000.0,224654.6,158902.0,280.43049196410846,396.4707807327787
mrk,MERCK & COMPANY,35,Health Care,801.6,450.8,1252.4,228043.8,42294.0,5.491927427976556,29.611765262212135
pfe,PFIZER,35,Health Care,795.307,912.366,1707.673,213284.9,53647.0,8.006534921131312,31.831658806643432
ba,BOEING,20,Industrial,626.0,896.0,1522.0,194888.9,101127.0,7.8095776619397,15.050382192688401
cmcsa,COMCAST A,50,Communication Services,513.316,1491.298,2004.614,195256.9,94507.0,10.266546278262126,21.21127535526469
csco,CISCO SYSTEMS,45,IT,41.914,736.064,777.978,193743.9,51904.0,4.015496745962066,14.98878699136868
pep,PEPSICO,30,Consumer Staples,3734.52,1746.37,5480.889999999999,191288.6,64661.0,28.6524654370412,84.76345865359335
orcl,ORACLE,45,IT,14.763,513.072,527.835,185363.7,39506.0,2.847564005250219,13.360881891358275
c,CITIGROUP,40,Financial,21.098,700.252125,721.3501249999999,168215.1,97120.0,4.288260239419648,7.427410677512355
abt,ABBOTT LABORATORIES,35,Health Care,531.0,503.0,1034.0,152034.2,30578.0,6.801101331147859,33.81516122702596
adbe,ADOBE (S),45,IT,14.477,66.268,80.745,148108.6,11171.297,0.5451742842751873,7.227898425760232
mcd,MCDOLDS,25,Consumer Discretionary,176.06,775.745,951.8050000000001,147839.7,21025.2,6.438088010189414,45.26972395030725
mdt,MEDTRONIC,35,Health Care,65.312,233.364,298.676,150631.8,30557.0,1.982821688381869,9.774388847072682
crm,SALESFORCE.COM,45,IT,4.485,235.79,240.275,140669.3,13282.0,1.7080841377614022,18.09027254931486
amgn,AMGEN,35,Health Care,163.362,153.734,317.096,140221.3,23747.0,2.261396806333988,13.353097233334736
nflx,NETFLIX,50,Communication Services,,,,130791.6,15794.341,,
acn,ACCENTURE CLASS A,45,IT,24.095,303.998,328.09299999999996,133964.4,43215.013,2.449105881861151,7.592106937466384
bmy,BRISTOL MYERS SQUIBB,35,Health Care,243.8,130.676,374.476,149887.8,22561.0,2.4983754515043923,16.598377731483534
nvda,NVIDIA,45,IT,2.356,51.23,53.586,137130.8,11716.0,0.39076560480942285,4.573745305565039
cost,COSTCO WHOLESALE,30,Consumer Staples,970.138,1388.491,2358.629,131358.3,152703.0,17.95569065677616,15.445858954964866
abbv,ABBVIE,35,Health Care,293.271,334.131,627.402,131220.0,32753.0,4.781298582533151,19.1555582694715
ibm,INTERTIOL BUS.MCHS.,45,IT,124.901,1371.616,1496.517,119844.4,79591.0,12.48716669281168,18.80259074518476
pypl,PAYPAL HOLDINGS,45,IT,10.7,57.4,68.1,124076.9,15451.0,0.5488531708964359,4.407481716393761
